ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
JCI,2018,56175.147999999994,2,1.0,23400.0,2.40064735042735,Johnson Controls,Industrials,Building Products
JCI,2019,0.0,1,1.0,23968.0,0.0,Johnson Controls,Industrials,Building Products
JCI,2020,0.0,1,1.0,22317.0,0.0,Johnson Controls,Industrials,Building Products
JCI,2021,0.0,1,1.0,23668.0,0.0,Johnson Controls,Industrials,Building Products
JCI,2022,0.0,1,1.0,20637.0,0.0,Johnson Controls,Industrials,Building Products
JCI,2023,0.0,1,1.0,22331.0,0.0,Johnson Controls,Industrials,Building Products
KHC,2018,67151.848,4,1.0,26268.0,2.5564126694076443,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KHC,2019,46697.524000000005,4,1.0,24977.0,1.8696210113304241,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KHC,2020,46745.124,4,1.0,26185.0,1.7851870918464772,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KHC,2021,45412.28,4,1.0,26042.0,1.74380923124184,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KHC,2022,0.0,4,1.0,26485.0,0.0,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KHC,2023,0.0,4,1.0,26640.0,0.0,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KKR,2018,16944.995,1,1.0,1841.326,9.20260453607889,KKR & Co.,Financials,Asset Management & Custody Banks
KKR,2019,62292.932,1,1.0,1790.475,34.79128834527151,KKR & Co.,Financials,Asset Management & Custody Banks
KKR,2020,84769.465,1,1.0,2006.791,42.24130215852074,KKR & Co.,Financials,Asset Management & Custody Banks
KKR,2021,134377.88199999998,3,1.0,16226.04,8.281619051845057,KKR & Co.,Financials,Asset Management & Custody Banks
KKR,2022,122999.10269999999,3,1.0,5704.18,21.56297709749692,KKR & Co.,Financials,Asset Management & Custody Banks
KLAC,2018,31191.532,1,0.9,4036.701,7.726985971960767,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KMB,2018,1072979.822,10,1.0,18486.0,58.04283360380828,Kimberly-Clark,Consumer Staples,Household Products
KMB,2019,1111952.05,10,1.0,18450.0,60.268403794037944,Kimberly-Clark,Consumer Staples,Household Products
KMB,2020,1044955.874,10,1.0,19140.0,54.59539571577847,Kimberly-Clark,Consumer Staples,Household Products
KMB,2021,1055658.44,10,1.0,19440.0,54.30341769547325,Kimberly-Clark,Consumer Staples,Household Products
KMB,2022,1096577.776,10,1.0,16952.0,64.68722133081643,Kimberly-Clark,Consumer Staples,Household Products
KMB,2023,1030421.2660000001,10,1.0,17146.0,60.09688942027295,Kimberly-Clark,Consumer Staples,Household Products
KMI,2018,10341201.39902,244,0.9993852459016394,13318.0,776.4830604460129,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMI,2019,11607894.70778,259,0.9984555984555985,12080.0,960.9184360745033,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMI,2020,12079885.1033,268,0.9996268656716417,10097.0,1196.383589511736,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMI,2021,11740156.0646322,280,0.999642857142857,16154.0,726.7646443377615,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMI,2022,11378591.0067014,281,0.9996441281138789,18128.0,627.6804394694065,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMI,2023,11825388.6862346,285,0.9996491228070175,13647.0,866.5192852813512,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
L,2018,3140640.146,43,1.0,3886.0,808.193552753474,Loews Corporation,Financials,Multi-line Insurance
L,2019,3296116.134,44,1.0,3870.0,851.7095953488372,Loews Corporation,Financials,Multi-line Insurance
L,2020,2571965.584,46,1.0,2820.0,912.0445333333332,Loews Corporation,Financials,Multi-line Insurance
L,2021,2646368.876,48,1.0,2005.0,1319.8847261845387,Loews Corporation,Financials,Multi-line Insurance
L,2022,2140049.054,49,1.0,2087.0,1025.418808816483,Loews Corporation,Financials,Multi-line Insurance
L,2023,2049069.366,49,1.0,2360.0,868.2497313559322,Loews Corporation,Financials,Multi-line Insurance
LII,2018,0.0,1,1.0,3883.9,0.0,Lennox International,Industrials,Building Products
LII,2019,0.0,1,1.0,3807.2,0.0,Lennox International,Industrials,Building Products
LII,2020,0.0,1,1.0,3634.1,0.0,Lennox International,Industrials,Building Products
LII,2021,0.0,1,1.0,4194.1,0.0,Lennox International,Industrials,Building Products
LII,2022,0.0,1,1.0,4718.4,0.0,Lennox International,Industrials,Building Products
LII,2023,0.0,1,1.0,4981.9,0.0,Lennox International,Industrials,Building Products
LIN,2018,10911404.418,29,0.9258620689655173,14836.0,735.468078862227,Linde plc,Materials,Industrial Gases
LIN,2019,7983736.36,20,0.9375,28228.0,282.8303939350999,Linde plc,Materials,Industrial Gases
LIN,2020,8154352.524,22,0.9659090909090909,27243.0,299.31918379033146,Linde plc,Materials,Industrial Gases
LIN,2021,9451343.564,23,0.9847826086956522,30793.0,306.9315611989738,Linde plc,Materials,Industrial Gases
LIN,2022,9799483.444,23,0.9847826086956522,33364.0,293.71428617671745,Linde plc,Materials,Industrial Gases
LIN,2023,10074068.22,23,0.9847826086956522,32854.0,306.63140622146466,Linde plc,Materials,Industrial Gases
LLY,2018,81534.0332,2,0.95,21493.3,3.793462762814459,Lilly (Eli),Health Care,Pharmaceuticals
LLY,2019,24082.843999999997,1,0.9,22319.5,1.079004637200654,Lilly (Eli),Health Care,Pharmaceuticals
LLY,2020,23322.406,1,0.95,24539.8,0.9503910382317704,Lilly (Eli),Health Care,Pharmaceuticals
LLY,2021,22454.672,1,0.95,28318.4,0.792935759082434,Lilly (Eli),Health Care,Pharmaceuticals
