ticker,company,gics_sector,gics_sub_industry,years_observed,year_last,scope1_t,revenue_musd,co2_intensity,n_facilities,match_confidence,intensity_cagr,absolute_cagr,base_year_ratio,intensity_illusion,illusion_gap
LYB,LyondellBasell,Materials,Specialty Chemicals,6,2023,8523906.445999999,33336.0,255.6967376409887,15,0.9810399562123698,-0.024126655732756186,0.0058087769306702786,0.943363656087172,True,0.029935432663426464
MCHP,Microchip Technology,Information Technology,Semiconductors,6,2023,472938.201976,7634.4,61.94831315833596,4,1.0,-0.09391396834961319,-0.0010542761139447077,1.2200175186631232,False,0.09285969223566848
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,6,2023,0.0,36016.0,0.0,1,1.0,,,,False,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,6,2023,110103.336,16164.249,6.811534269238243,1,1.0,-0.09726442489396725,-0.03676339163997966,1.149679689108028,False,0.06050103325398759
MLM,Martin Marietta Materials,Materials,Construction Materials,6,2023,3999044.1620000005,5851.0,683.4804583831824,4,1.0,-0.040730480637919064,0.031103219398775916,0.9480687638068073,True,0.07183370003669498
MMM,3M,Industrials,Industrial Conglomerates,6,2023,1007143.6889239999,24610.0,40.92416452352702,12,1.0,0.022716603750340125,-0.03282091779670082,1.0704930329704583,False,-0.05553752154704095
MO,Altria,Consumer Staples,Tobacco,6,2023,66467.196,24483.0,2.714830535473594,2,1.0,-0.05707486297582387,-0.06201358349856456,1.219142310560966,False,-0.004938720522740692
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,6,2023,1584499.966,13696.1,115.68986543614605,10,1.0,-0.12077535986881016,-0.002165627356096378,1.1569391674357223,False,0.11860973251271378
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,6,2023,36089385.98237825,148379.0,243.22435103605127,133,0.979657275599472,-0.14184494227314914,-0.0194177196447457,1.0412322935795575,False,0.12242722262840344
MRK,Merck & Co.,Health Care,Pharmaceuticals,6,2023,365529.70399999997,60115.0,6.080507427430757,5,0.9983333333333334,-0.09974770812734113,-0.01455344906426792,1.105728458785299,False,0.08519425906307321
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,6,2023,0.0,54143.0,0.0,2,1.0,,,,False,
MU,Micron Technology,Information Technology,Semiconductors,6,2023,303884.3484487,15540.0,19.55497737765122,2,1.0,-0.08399978982201195,-0.14170939646771952,1.227679394615778,False,-0.05770960664570757
NEE,NextEra Energy,Utilities,Multi-Utilities,6,2023,42867507.677971,24800.0,1728.5285354020564,34,0.9897899159663864,0.23329335828031184,0.35534605259658725,0.1156638905351616,False,0.12205269431627541
NEM,Newmont,Materials,Gold,6,2023,567759.26746,11812.0,48.06631116322384,3,1.0,-0.20418037686647517,-0.1303702069980358,1.6587911324222184,False,0.07381016986843936
NI,NiSource,Utilities,Multi-Utilities,6,2023,5027591.002,5347.8,940.1232286173754,14,1.0,-0.174087682057251,-0.15540979309230674,1.6787247750387173,False,0.018677888964944267
NOC,Northrop Grumman,Industrials,Aerospace & Defense,6,2023,110192.27799999999,39290.0,2.8045883939933822,4,1.0,-0.05802808679826277,-0.0157375408522219,1.1541651649825282,False,0.04229054594604087
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,6,2023,22461424.34004,28256.0,794.9258330988108,36,1.0,-0.3320535230082394,-0.07337560636899687,1.2322135339984213,False,0.25867791663924256
NSC,Norfolk Southern,Industrials,Rail Transportation,6,2023,0.0,12156.0,0.0,1,0.9500000000000001,-0.03915770820330022,-0.11188978416880435,2.5356906205698566,False,-0.07273207596550413
NUE,Nucor,Materials,Steel,6,2023,5497406.23368,34714.0,158.36279984098633,26,1.0,-0.11827166528509869,-0.010171851380913255,1.0317671554846826,False,0.10809981390418544
NXPI,NXP Semiconductors,Information Technology,Semiconductors,6,2023,77528.052339,13276.0,5.8397146986291055,1,1.0,-0.24889613782123043,-0.17782411121454844,4.692068216322499,False,0.07107202660668199
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,6,2023,3886056.4206,17677.0,219.83687393788537,56,0.9970818460292145,-0.10134498206255604,0.028545882242109633,0.8814312656557377,True,0.12989086430466568
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,6,2023,15317522.890804,23230.0,659.385402100904,126,0.9749429332923789,-0.10742331319562815,0.010004160206741108,0.9026389026616594,True,0.11742747340236925
PCG,PG&E Corporation,Utilities,Multi-Utilities,6,2023,3254389.2656,24428.0,133.22372955624692,13,0.9794871794871794,-0.08409490669756314,-0.010584434536790144,0.982786467696471,False,0.073510472160773
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,6,2023,463035.34199999995,11237.0,41.206313250867666,7,1.0,-0.5241316497603945,-0.5149831145630075,1.425479170274111,False,0.009148535197387009
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,6,2023,317942.602,91471.0,3.47588418187185,10,1.0,-0.08895821751319255,-0.018385118442647896,0.9192034703177558,False,0.07057309907054465
PFE,Pfizer,Health Care,Pharmaceuticals,6,2023,225796.41,50914.0,4.434858977884275,4,1.0,-0.12524828037552704,-0.016565683693410382,0.991334844651971,False,0.10868259668211666
PG,Procter & Gamble,Consumer Staples,Personal Care Products,6,2023,1660556.136144,82006.0,20.24920293812648,10,1.0,-0.052790304108210506,-0.008430577996722755,0.9935424162370343,False,0.04435972611148775
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,6,2023,1498344.226,7802.4,192.03632548959297,9,1.0,-0.042114636920371096,-0.006675664704410278,0.9953426813642967,False,0.03543897221596082
